id,english_name,chinese_name,volume_size,food_intake,night_shift,total_skills,make_a_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,pasture,carry,handling_speed,ranch_items,pasture_minimum_output,the_largest_ranch
1,Lamball,Mian Youyou,smallest,2,no,3,0,0,0,0,1,0,0,0,0,0,1,1,160,wool,1,Rank
2,Cattiva,Naughty cat,smallest,2,no,4,0,0,0,0,1,1,0,1,0,0,0,1,160,n/a,n/a,n/a
3,Chikipi,Pipi Chicken,smallest,1,no,2,0,0,0,0,0,1,0,0,0,0,1,0,n/a,Egg,1,Rank
4,Lifmunk,green leaf rat,smallest,1,no,5,0,0,1,0,1,1,1,0,1,0,0,0,n/a,n/a,n/a,n/a
5,Foxparks,tinder fox,smallest,2,no,1,1,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
6,Fuack,surf duck,smallest,2,no,3,0,1,0,0,1,0,0,0,0,0,0,1,202,n/a,n/a,n/a
7,Sparkit,Volt Meow,smallest,2,no,3,0,0,0,1,1,0,0,0,0,0,0,1,270,n/a,n/a,n/a
8,Tanzee,Neolepithecus,smallest,2,no,5,0,0,1,0,1,1,1,0,0,0,0,1,174,n/a,n/a,n/a
9,Rooby,Fire Deer,Small,3,no,1,1,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
10,Pengullet,Keimaru,smallest,2,no,4,0,1,0,0,1,0,0,0,0,1,0,1,265,n/a,n/a,n/a
11,Penking,King Keimaru,big,8,no,10,0,2,0,0,2,0,0,2,0,2,0,2,280,n/a,n/a,n/a
12,Jolthog,electric rat,smallest,2,no,1,0,0,0,1,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
12,Jolthog Cryst,ice agouti,smallest,2,no,1,0,0,0,0,0,0,0,0,0,1,0,0,n/a,n/a,n/a,n/a
13,Gumoss,Ye NiNi,smallest,1,no,1,0,0,1,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
13,Gumoss (Special),Ye Ni Ni (Special),smallest,1,no,1,0,0,1,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
14,Vixy,Tamamo fox,smallest,1,no,2,0,0,0,0,0,1,0,0,0,0,1,0,n/a,Palu Ball Advanced Palu Ball Arrow Gold Coin,"According to partner skill level 1,1,2,1,1 0,0,0,1,1 1,1,2,3,4 10,20,30,40,50","According to partner skill level 1,2,3,1,2 0,0,0,1,1 1,2,3,4,5 10,20,30,40,50"
15,Hoocrates,Tikar,smallest,3,yes,1,0,0,0,0,0,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
16,Teafant,pot elephant,medium,2,no,1,0,1,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
17,Depresso,Look at the devil,smallest,2,yes,3,0,0,0,0,1,0,0,1,0,0,0,1,100,n/a,n/a,n/a
18,Cremis,Miruffy,smallest,2,no,2,0,0,0,0,0,1,0,0,0,0,1,0,n/a,wool,1,Rank
19,Daedream,sleep demon,smallest,3,yes,3,0,0,0,0,1,1,0,0,0,0,0,1,220,n/a,n/a,n/a
20,Rushoar,sage pig,Small,3,no,1,0,0,0,0,0,0,0,1,0,0,0,0,n/a,n/a,n/a,n/a
21,Nox,Lunati,smallest,2,no,1,0,0,0,0,0,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
22,Fuddler,Escape Rat,smallest,2,no,3,0,0,0,0,1,0,0,1,0,0,0,1,240,n/a,n/a,n/a
23,Killamari,squid,smallest,3,yes,3,0,0,0,0,0,1,0,0,0,0,0,2,260,n/a,n/a,n/a
24,Mau,Meowster,smallest,1,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,n/a,gold,10,Rank*10
24,Mau Cryst,ice cream,smallest,1,no,2,0,0,0,0,0,0,0,0,0,1,1,0,n/a,gold,10,Rank*10
25,Celaray,Rumiel,medium,3,no,2,0,1,0,0,0,0,0,0,0,0,0,1,350,n/a,n/a,n/a
26,Direhowl,hunting wolves,Small,3,no,1,0,0,0,0,0,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
27,Tocotoco,Fried egg bird,Small,2,no,1,0,0,0,0,0,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
28,Flopie,Bona Rabbit,smallest,3,no,5,0,0,1,0,1,1,0,0,1,0,0,1,250,n/a,n/a,n/a
29,Mozzarina,Boba Cow,Small,3,no,1,0,0,0,0,0,0,0,0,0,0,1,0,n/a,milk,1,Rank
30,Bristla,Thorn Fairy,Small,5,no,6,0,0,1,0,1,1,0,0,2,0,0,1,250,n/a,n/a,n/a
31,Gobfin Ignis,red shark,Small,3,no,4,2,0,0,0,1,0,0,0,0,0,0,1,120,n/a,n/a,n/a
