id,name,minimum_level,maximum_level,fecundity,pallu_refresh_type,night_only,refresh_area,pallu_refresh_type.1,night_only.1,refresh_area.1
1,Mian Youyou,1,14,1470,Creeps,no,grassland,Creeps,no,grassland
2,Naughty cat,1,13,1460,Creeps,no,grassland,Random dungeon boss,no,dungeon
3,Pipi Chicken,1,13,1500,Creeps,no,grassland,Random dungeon boss,no,dungeon
4,green leaf rat,2,13,1430,Creeps,no,islands,Random dungeon boss,no,dungeon
5,tinder fox,2,18,1400,Creeps,no,islands,Wild BOSS,no,grassland
6,surf duck,2,13,1330,Creeps,no,islands,Random dungeon boss,no,dungeon
7,Volt Meow,3,17,1410,Creeps,no,grassland,Creeps,no,grassland
8,Neolepithecus,2,13,1250,Creeps,no,islands,Random dungeon boss,no,dungeon
9,Fire Deer,2,13,1155,Creeps,no,islands,Random dungeon boss,no,dungeon
10,Keimaru,2,45,1350,Creeps,no,grassland,Random dungeon boss,no,dungeon
11,King Keimaru,15,22,520,Secret Domain BOSS,no,grassland,Creeps,no,game reserve
12,ice agouti,10,10,1360,event,no,Random events,event,no,Random events
12,electric rat,3,13,1370,Creeps,no,grassland,Random dungeon boss,no,dungeon
13,Ye Ni Ni (Special),2,14,1240,Creeps,no,islands,Creeps,no,grassland
14,Tamamo fox,3,13,1450,Creeps,no,grassland,Random dungeon boss,no,dungeon
15,Tikar,3,14,1390,Creeps,yes,grassland,Creeps,yes,grassland
16,pot elephant,1,13,1490,Creeps,no,grassland,Random dungeon boss,no,dungeon
17,Look at the devil,3,14,1380,Creeps,yes,grassland,Creeps,yes,grassland
17,Look at the devil,3,0,1380,Creeps,yes,islands,n/a,no,n/a
18,Miruffy,2,14,1455,Creeps,no,grassland,Creeps,no,grassland
19,sleep demon,3,15,1230,Creeps,yes,grassland,Creeps,no,dungeon
20,sage pig,2,13,1130,Creeps,no,islands,Random dungeon boss,no,dungeon
21,Lunati,3,19,1180,Creeps,yes,islands,Random dungeon boss,no,dungeon
22,Escape Rat,5,40,1220,Creeps,no,dungeon,Random dungeon boss,no,dungeon
23,squid,5,13,1290,Creeps,no,dungeon,Random dungeon boss,no,dungeon
24,ice cream,30,45,1440,Creeps,no,Snow,Random dungeon boss,no,dungeon
24,Meowster,5,15,1480,Creeps,no,dungeon,Creeps,no,dungeon
25,Rumiel,2,13,870,Creeps,no,grassland,Random dungeon boss,no,dungeon
26,hunting wolves,4,15,1060,Creeps,no,islands,Creeps,no,grassland
27,Fried egg bird,11,40,1340,Creeps,no,grassland,Random dungeon boss,no,dungeon
28,Bona Rabbit,10,29,1280,event,no,Random events,Random dungeon boss,no,dungeon
29,Boba Cow,10,19,910,Creeps,no,grassland,Random dungeon boss,no,dungeon
30,Thorn Fairy,16,29,1320,Creeps,no,forest,Random dungeon boss,no,dungeon
31,red shark,25,38,1100,Creeps,no,volcano,Random dungeon boss,no,dungeon
31,Sharkboy,20,29,1090,Creeps,no,forest,Random dungeon boss,no,dungeon
32,Hanging spirit,14,40,n/a,n/a,no,n/a,n/a,no,n/a
32,Icebound Spirit,33,35,1422,Creeps,yes,Snow,Creeps,yes,Snow
32,Hanging spirit,14,40,1420,Creeps,no,grassland,Random dungeon boss,no,dungeon
33,Ye Panda,25,29,430,Creeps,no,forest,Random dungeon boss,no,dungeon
33,Lei Panda,31,37,390,Wild BOSS,no,grassland,Creeps,no,dungeon
34,Marshmallow,14,19,n/a,n/a,no,n/a,n/a,no,n/a
34,Marshmallow,14,19,1190,Creeps,no,grassland,Random dungeon boss,no,dungeon
35,bush sheep,6,41,930,Random dungeon boss,no,dungeon,Creeps,no,Snow
36,Melupa,5,17,890,Wild BOSS,no,grassland,Creeps,no,grassland
37,Only a deer,18,22,900,Creeps,no,game reserve,Creeps,no,game reserve
37,Zixia Deer,6,13,920,Random dungeon boss,no,dungeon,Random dungeon boss,no,dungeon
38,Swift Falcon,9,40,420,Creeps,no,grassland,Random dungeon boss,no,dungeon
39,Ji Xiaotu,2,19,1310,Creeps,no,islands,Random dungeon boss,no,dungeon
40,Dark Demon Sheep,40,45,580,Creeps,no,game reserve,Creeps,no,game reserve
40,Balrog Sheep,29,38,590,Creeps,no,volcano,Random dungeon boss,no,dungeon
41,Huan Yue Butterfly,18,29,490,Creeps,no,forest,Random dungeon boss,no,dungeon
42,Blazing Ox,9,39,790,Creeps,no,grassland,Creeps,no,Snow
43,Pa Pa Pa Catfish,14,38,895,Wild BOSS,no,grassland,Random dungeon boss,no,dungeon
44,Black Crow Hermit,12,40,1080,Creeps,yes,grassland,Random dungeon boss,no,dungeon
45,Hot-blooded lizard,15,38,1140,Creeps,yes,volcano,Random dungeon boss,no,dungeon
45,punk lizard,29,40,1120,Creeps,no,volcano,Random dungeon boss,no,dungeon
46,Moonscythe Demon,12,29,950,Creeps,yes,grassland,Random dungeon boss,no,dungeon
47,Tianqinniao,9,29,1030,Creeps,no,grassland,Random dungeon boss,no,dungeon
48,Feather Archer,21,29,1020,event,no,Random events,Random dungeon boss,no,dungeon
48,mountain shooter,30,40,1000,Creeps,no,desert,Random dungeon boss,no,dungeon
49,Iron Fist Ape,18,29,1040,event,no,Random events,Random dungeon boss,no,dungeon
50,knight bee,20,25,1070,Creeps,no,dungeon,Wild BOSS,no,forest
51,queen bee,28,31,330,Creeps,no,forest,Wild BOSS,no,forest
52,Laughing Nightmare Cat,17,29,510,Wild BOSS,no,grassland,Random dungeon boss,no,dungeon
53,Mao duster,7,27,1300,Wild BOSS,no,grassland,Creeps,no,forest snow
54,Dad Mao,11,32,410,Wild BOSS,no,grassland,Creeps,no,forest snow
55,Whirling Weasel,11,45,800,Wild BOSS,no,grassland,Random dungeon boss,no,dungeon
56,thunder wildebeest,7,31,680,Creeps,no,grassland,Wild BOSS,no,grassland
57,blowing snow fox,28,32,760,Creeps,no,forest snow,Creeps,no,forest snow
58,fire unicorn,29,38,360,Creeps,no,volcano,Random dungeon boss,no,dungeon
58,evil unicorn,32,38,240,Creeps,no,dungeon,Random dungeon boss,no,dungeon
59,Deer in severe winter,25,45,880,Creeps,no,forest snow,Random dungeon boss,no,dungeon
60,thunder dog,30,40,740,Creeps,no,desert,Random dungeon boss,no,dungeon
61,Blue Flame Wolf,28,32,830,Creeps,yes,forest snow,Creeps,yes,forest snow
62,Thunder Boy,29,40,1210,Creeps,no,desert,Random dungeon boss,no,dungeon
63,Mystia,32,45,1110,Secret Domain BOSS,no,grassland,Random dungeon boss,no,dungeon
64,Thunder Guanlong,35,47,810,Creeps,no,desert,Wild BOSS,no,desert
64,Corolla dragon,10,39,820,Random dungeon boss,no,dungeon,event,no,Random events
65,water-sliding snake,14,26,560,Random dungeon boss,no,dungeon,Creeps,yes,forest
65,quicksand snake,30,40,550,Creeps,no,desert,Random dungeon boss,no,dungeon
66,Soul Eater,36,45,1150,Creeps,yes,Snow,Random dungeon boss,no,dungeon
67,Rock Crusher Turtle,17,40,850,Random dungeon boss,no,dungeon,Random dungeon boss,no,dungeon
68,cat bat monster,5,45,750,Creeps,yes,islands,Random dungeon boss,no,dungeon
69,fraternity lizard,18,40,940,Creeps,yes,grassland,Random dungeon boss,no,dungeon
70,Rong Yan Niang,9,38,1405,Creeps,no,volcano,Random dungeon boss,no,dungeon
71,Fenggelong,10,40,660,Creeps,no,grassland,event,no,Random events
71,Frost Song Dragon,36,45,620,Creeps,yes,Snow,Random dungeon boss,no,dungeon
72,Wave Blade Samurai,23,45,640,Secret Domain BOSS,no,grassland,Creeps,no,game reserve
73,Thunderbird,29,40,220,Wild BOSS,no,grassland,Random dungeon boss,no,dungeon
74,Flamingo,34,38,380,Creeps,no,volcano,Random dungeon boss,no,dungeon
75,dark witch cat,20,29,700,Creeps,no,dungeon,Random dungeon boss,no,dungeon
76,Flame Witch Fox,16,38,1160,Creeps,no,volcano,Random dungeon boss,no,dungeon
77,spring rabbit,35,45,990,Secret Domain BOSS,no,forest,Creeps,no,game reserve
