id,name,minimum_level,maximum_level,fecundity,pallu_refresh_type,night_only,refresh_area,pallu_refresh_type.1,night_only.1,refresh_area.1
1,Mian Youyou,1.0,14.0,1470.0,Creeps,,grassland,Creeps,,grassland
2,Naughty cat,1.0,13.0,1460.0,Creeps,,grassland,Random dungeon boss,,dungeon
3,Pipi Chicken,1.0,13.0,1500.0,Creeps,,grassland,Random dungeon boss,,dungeon
4,green leaf rat,2.0,13.0,1430.0,Creeps,,islands,Random dungeon boss,,dungeon
5,tinder fox,2.0,18.0,1400.0,Creeps,,islands,Wild BOSS,,grassland
6,surf duck,2.0,13.0,1330.0,Creeps,,islands,Random dungeon boss,,dungeon
7,Volt Meow,3.0,17.0,1410.0,Creeps,,grassland,Creeps,,grassland
8,Neolepithecus,2.0,13.0,1250.0,Creeps,,islands,Random dungeon boss,,dungeon
9,Fire Deer,2.0,13.0,1155.0,Creeps,,islands,Random dungeon boss,,dungeon
10,Keimaru,2.0,45.0,1350.0,Creeps,,grassland,Random dungeon boss,,dungeon
11,King Keimaru,15.0,22.0,520.0,Secret Domain BOSS,,grassland,Creeps,,game reserve
12,ice agouti,10.0,10.0,1360.0,event,,Random events,event,,Random events
12,electric rat,3.0,13.0,1370.0,Creeps,,grassland,Random dungeon boss,,dungeon
13,Ye Ni Ni (Special),2.0,14.0,1240.0,Creeps,,islands,Creeps,,grassland
14,Tamamo fox,3.0,13.0,1450.0,Creeps,,grassland,Random dungeon boss,,dungeon
15,Tikar,3.0,14.0,1390.0,Creeps,yes,grassland,Creeps,yes,grassland
16,pot elephant,1.0,13.0,1490.0,Creeps,,grassland,Random dungeon boss,,dungeon
17,Look at the devil,3.0,14.0,1380.0,Creeps,yes,grassland,Creeps,yes,grassland
17,Look at the devil,3.0,,1380.0,Creeps,yes,islands,,,
18,Miruffy,2.0,14.0,1455.0,Creeps,,grassland,Creeps,,grassland
19,sleep demon,3.0,15.0,1230.0,Creeps,yes,grassland,Creeps,,dungeon
20,sage pig,2.0,13.0,1130.0,Creeps,,islands,Random dungeon boss,,dungeon
21,Lunati,3.0,19.0,1180.0,Creeps,yes,islands,Random dungeon boss,,dungeon
22,Escape Rat,5.0,40.0,1220.0,Creeps,,dungeon,Random dungeon boss,,dungeon
23,squid,5.0,13.0,1290.0,Creeps,,dungeon,Random dungeon boss,,dungeon
24,ice cream,30.0,45.0,1440.0,Creeps,,Snow,Random dungeon boss,,dungeon
24,Meowster,5.0,15.0,1480.0,Creeps,,dungeon,Creeps,,dungeon
25,Rumiel,2.0,13.0,870.0,Creeps,,grassland,Random dungeon boss,,dungeon
26,hunting wolves,4.0,15.0,1060.0,Creeps,,islands,Creeps,,grassland
27,Fried egg bird,11.0,40.0,1340.0,Creeps,,grassland,Random dungeon boss,,dungeon
28,Bona Rabbit,10.0,29.0,1280.0,event,,Random events,Random dungeon boss,,dungeon
